,title,date,desc,content,keywords
81,Can I Safely Send My Kid to Day Care? We Asked the Experts,2020-10-23T13:29:11Z,"As states struggle with reopening, parents are scrambling to figure out child care amid a fall surge of coronavirus.","When it comes to transmission of Covid-19 through day cares, data remains scarce.
Nevertheless, studies from several countries have found that, once they are exposed, kids under 10 are about half as… [+2078 chars]","['#comes', '#transmission', '#Covid-19', '#day', '#cares']"
82,Special Edition: The Pandemic Reaches the President,2020-10-02T22:01:46Z,He assured the country the coronavirus would “disappear” soon. Then he tested positive.,"There are a lot of ways to listen to The Daily. Heres how.
We want to hear from you. Tune in, and tell us what you think. Email us at thedaily@nytimes.com. Follow Michael Barbaro on Twitter: @mikieb… [+957 chars]","['#lot', '#ways', '#listen', '#Daily', '#Heres']"
83,The French Open Will Probably Finish. But This Tournament Has Not Been Normal.,2020-10-09T05:00:07Z,The Grand Slam tournament has played out as the coronavirus has gotten worse in Paris.,"When they failed to show up to watch one of his practices, Nadal sent a text jokingly asking if they had forsaken him. No, they replied. They were intent on doing everything in their power to protect… [+2050 chars]","['#failed', '#watch', '#practices', '#Nadal', '#sent']"
84,Coronavirus Tracers Beg Residents: Please Answer Your Phones,2020-09-29T14:34:12Z,Spam calls and scammers are more than annoying; they’re hindering efforts to track the coronavirus.,"Thats far better than what many municipalities are reporting, Dr. Cannuscio said.
Tracers in Louisiana were able to reach 66 percent of identified cases from May 15 to Sept. 24, Alyson Neel, a spoke… [+1443 chars]","['#s', '#municipalities', '#reporting', '#Dr.', '#Cannuscio']"
85,Why Won’t Trump Tell Americans to Wear Masks?,2020-09-30T09:00:22Z,"How a simple, effective tool to prevent coronavirus infection turned into a partisan fault line.","Still, once Trump staked out an anti-mask position, much of right-wing media took their cues from him. The mask became a fault line.
In The Federalist, David Marcus argued that masks symbolized weak… [+2011 chars]","['#Trump', '#staked', '#position', '#wing', '#media']"
86,"Review: In ‘The Journey,’ Scott Silven Tours Your Mind",2020-10-02T18:50:02Z,Coronavirus travel restrictions don’t prevent the mentalist from visiting your head in this hourlong online show.,"Maybe its not so hard to know what people are thinking right now. If you approached random adults in my corner of Brooklyn and hazarded vaccine or the election or school reopening, you might startle … [+830 chars]","['#know', '#people', '#thinking', '#approached', '#adults']"
87,"China Got Better. We Got Sicker. Thanks, Trump.",2020-10-13T23:50:48Z,"With a different leader, the United States could have contained the coronavirus.","America cannot employ such a strategy. We dont have an authoritarian government (yet), and I sure dont want one. But we failed to produce a democratic consensus to do the same job.
Thats what is so … [+2026 chars]","['#America', '#employ', '#strategy', '#government', '#want']"
89,US election 2020: Harris halts travel after aide tests positive for coronavirus,2020-10-15T14:39:52Z,"The vice-presidential candidate was not exposed to coronavirus positive staff, the campaign said.","image copyrightGetty Images
image captionMr Biden and Mrs Harris campaigned in Arizona together last Thursday
Democratic vice-presidential candidate Kamala Harris will halt campaign travel until Mo… [+2549 chars]","['#image', '#Harris', '#copyrightGetty', '#Images', '#Biden']"
90,Coronavirus: WHO head calls herd immunity approach 'immoral',2020-10-12T22:23:30Z,Dr Ghebreyesus said allowing coronavirus to spread unchecked would cause unnecessary suffering and death.,"Image copyrightReutersImage caption
 Dr Ghebreyesus said allowing the virus to spread would cause 'unnecessary' suffering
The head of the World Health Organization has ruled out a herd immunity res… [+1472 chars]","['#Image', '#copyrightReutersImage', '#caption', '#Dr', '#Ghebreyesus']"
91,World number one Johnson tests positive for coronavirus,2020-10-13T20:06:08Z,"World number one Dustin Johnson tests positive for coronavirus, the PGA Tour announces.","Johnson playing in the US Open in September
World number one Dustin Johnson has tested positive for coronavirus, the PGA Tour has announced.
Johnson, 36, who is now self-isolating, has withdrawn fr… [+752 chars]","['#Johnson', '#playing', '#US', '#Open', '#September']"
92,Bihar elections: Crowds throng rallies amid coronavirus fear,2020-10-23T07:59:57Z,Experts say that flouting coronavirus safety rules at rallies can have devastating consequences.,"By Vikas PandeyBBC News, Delhi
image copyrightGetty Images
image captionLarge crowds have been seen in political rallies in BIhar
Indian Prime Minister Narendra Modi on Tuesday asked people not to… [+5312 chars]","['#image', '#Vikas', '#PandeyBBC', '#News', '#Delhi']"
93,Your privacy may be another victim of the coronavirus pandemic,2020-10-12T19:52:58Z,"Drones. Surveillance creep. A terrifying new normal is approaching...regardless of whether we like it or not. 
Read the full story here. Read more...More about Mashable Video, Cybersecurity, Election, Digital Surveillance, and Tech","Drones. Surveillance creep. A terrifying new normal is approaching...regardless of whether we like it or not. 
Read the full story here.","['#Drones', '#Surveillance', '#creep', '#approaching', '#like']"
94,"After coronavirus shutdown, Lyft's self-driving cars will pick up passengers again",2020-10-22T13:00:00Z,"You can order a self-driving car on Lyft again. 
The company paused its autonomous taxi program, which only operates in Las Vegas, in  March because of the coronavirus pandemic. Starting Thursday, the fleet will be picking up passengers again. Before the shut…","You can order a self-driving car on Lyft again. 
The company paused its autonomous taxi program, which only operates in Las Vegas, in  March because of the coronavirus pandemic. Starting Thursday, t… [+1182 chars]","['#order', '#self', '#driving', '#car', '#Lyft']"
95,Study Finds ‘Single Largest Driver’ of Coronavirus Misinformation: Trump,2020-09-30T23:30:50Z,Cornell University researchers analyzing 38 million English-language articles about the pandemic found that President Trump was the largest driver of the “infodemic.”,"But in interviews, the Cornell researchers said they expected to find more mentions of conspiracy theories, and not so many articles involving Mr. Trump.
Public health experts know that clear, conci… [+2379 chars]","['#interviews', '#Cornell', '#researchers', '#said', '#expected']"
96,"Hope Hicks, Senior Trump Adviser, Tests Positive for Coronavirus",2020-10-02T02:23:49Z,"Ms. Hicks, the closest known person to the president to have contracted the virus, traveled with him this week aboard Air Force One.",Reporters who are scheduled to travel with the president are required to get coronavirus tests before they are permitted on Air Force One or into Oval Office meetings. Other visitors are also screene… [+1621 chars],"['#Reporters', '#scheduled', '#travel', '#president', '#required']"
97,How a Small California Bar Battled to Survive the Coronavirus,2020-10-06T10:02:07Z,"We chart the trials of a tavern in Oakland, Calif., that was thriving until the pandemic brought economic and emotional turmoil.","Jack Nicas contributed reporting.
The Daily is made by Theo Balcomb, Andy Mills, Lisa Tobin, Rachel Quester, Lynsea Garrison, Annie Brown, Clare Toeniskoetter, Paige Cowett, Michael Simon Johnson, B… [+635 chars]","['#Jack', '#Nicas', '#contributed', '#reporting', '#Daily']"
98,"Nick Saban, Alabama’s Football Coach, Tests Positive for Coronavirus",2020-10-14T22:12:04Z,The renowned Alabama coach is the most prominent figure in college sports known to have tested positive during the coronavirus pandemic.,"Nick Saban, the University of Alabamas revered football coach and one of the most powerful figures in college sports, said Wednesday that he had tested positive for the coronavirus.
Saban, whose sec… [+909 chars]","['#Saban', '#Nick', '#University', '#Alabamas', '#revered']"
99,American Public Grows Increasingly Wary of Coronavirus Vaccines,2020-10-20T09:53:46Z,"California and New York plan to review any federally approved coronavirus vaccine, part of a growing skepticism as the Trump administration has pushed for speedy drug development.","LiveUpdated Oct. 20, 2020, 6:06 a.m. ET
Oct. 20, 2020, 6:06 a.m. ET
California and New York plan to review any federally approved coronavirus vaccine, part of a growing skepticism as the Trump admi… [+14717 chars]","['#Oct.', '#a.m.', '#ET', '#LiveUpdated', '#California']"
